#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Iindi_chr_1:11029542..11034009#DNA/DTC|Iindi_chr_1:11029542..11034009#DNA/DTC	TIR	EnSpm_CACTA	unknown	unknown	-	TPase|EnSpm_CACTA
Iindi_chr_1:12834117..12839269#LTR/Copia|Iindi_chr_1:12834117..12839269#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Iindi_chr_1:13087945..13092512#LTR/Copia|Iindi_chr_1:13087945..13092512#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Iindi_chr_1:15191766..15195221#DNA/DTC|Iindi_chr_1:15191766..15195221#DNA/DTC	TIR	EnSpm_CACTA	unknown	unknown	-	TPase|EnSpm_CACTA
Iindi_chr_1:15355249..15360046#LTR/Copia|Iindi_chr_1:15355249..15360046#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Iindi_chr_1:16336722..16338408#DNA/DTM|Iindi_chr_1:16336722..16338408#DNA/DTM	LTR	Copia	Bianca	no	-	INT|Bianca
Iindi_chr_1:16402505..16404784#DNA/DTC|Iindi_chr_1:16402505..16404784#DNA/DTC	LTR	Gypsy	Reina	no	-	RT|Reina RH|Reina INT|Reina
Iindi_chr_1:16668536..16673687#LTR/Copia|Iindi_chr_1:16668536..16673687#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Iindi_chr_1:17127377..17130203#DNA/DTM|Iindi_chr_1:17127377..17130203#DNA/DTM	TIR	EnSpm_CACTA	unknown	unknown	+	TPase|EnSpm_CACTA
Iindi_chr_1:1713541..1718128#LTR/Copia|Iindi_chr_1:1713541..1718128#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Iindi_chr_1:18321215..18334136#LTR/Gypsy|Iindi_chr_1:18321215..18334136#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Iindi_chr_1:18620550..18624343#DNA/DTC|Iindi_chr_1:18620550..18624343#DNA/DTC	TIR	EnSpm_CACTA	unknown	unknown	-	TPase|EnSpm_CACTA
Iindi_chr_1:18684254..18689261#DNA/DTM|Iindi_chr_1:18684254..18689261#DNA/DTM	LINE	unknown	unknown	unknown	+	ENDO|LINE RT|LINE
