#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Echei_chr_1:10744262..10748626#DNA/DTC|Echei_chr_1:10744262..10748626#DNA/DTC	LTR	Gypsy	Athila	no	-	GAG|Athila
Echei_chr_1:13879108..13883466#DNA/DTM|Echei_chr_1:13879108..13883466#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Echei_chr_1:15243844..15244755#DNA/DTM|Echei_chr_1:15243844..15244755#DNA/DTM	LTR	Gypsy	Athila	no	+	INT|Athila RH|Athila
Echei_chr_1:16344939..16349351#DNA/DTH|Echei_chr_1:16344939..16349351#DNA/DTH	LTR	Gypsy	Ogre	no	-	aRH|Ogre
Echei_chr_1:16460815..16464750#DNA/DTC|Echei_chr_1:16460815..16464750#DNA/DTC	LTR	Copia	Ale	no	+	GAG|Ale
Echei_chr_1:2173896..2188082#LTR/Copia|Echei_chr_1:2173896..2188082#LTR/Copia	LTR	Copia	Angela	no	+	GAG|Angela PROT|Angela INT|Angela RT|Angela
Echei_chr_1:5147061..5149162#DNA/DTC|Echei_chr_1:5147061..5149162#DNA/DTC	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale INT|Ale
Echei_chr_1:584689..590973#LTR/Copia|Echei_chr_1:584689..590973#LTR/Copia	LTR	Copia	Bianca	yes	-	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Echei_chr_1:6636149..6645047#LTR/Gypsy|Echei_chr_1:6636149..6645047#LTR/Gypsy	LTR	Gypsy	Athila	no	+	PROT|Athila
Echei_chr_1:6835494..6848150#LTR/Gypsy|Echei_chr_1:6835494..6848150#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila INT|Athila
Echei_chr_1:7693801..7699737#LTR/unknown|Echei_chr_1:7693801..7699737#LTR/unknown	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
Echei_chr_1:8853826..8862462#LTR/unknown|Echei_chr_1:8853826..8862462#LTR/unknown	LTR	Gypsy	Athila	no	+	PROT|Athila
Echei_chr_2:11638428..11643010#DNA/DTM|Echei_chr_2:11638428..11643010#DNA/DTM	LTR	Gypsy	Reina	no	-	GAG|Reina
Echei_chr_2:1427400..1431831#LTR/Copia|Echei_chr_2:1427400..1431831#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_2:21755591..21760456#DNA/DTM|Echei_chr_2:21755591..21760456#DNA/DTM	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_2:21793215..21798080#DNA/DTM|Echei_chr_2:21793215..21798080#DNA/DTM	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_2:2714589..2719726#LTR/Copia|Echei_chr_2:2714589..2719726#LTR/Copia	LTR	Copia	Tork	yes	+	GAG|Tork PROT|Ivana INT|Tork RT|Tork RH|Tork
Echei_chr_2:4428959..4437757#LTR/Gypsy|Echei_chr_2:4428959..4437757#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_2:5118793..5132619#LTR/unknown|Echei_chr_2:5118793..5132619#LTR/unknown	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Echei_chr_2:5541958..5557479#LTR/Gypsy|Echei_chr_2:5541958..5557479#LTR/Gypsy	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
Echei_chr_2:6388882..6397248#LTR/Gypsy|Echei_chr_2:6388882..6397248#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_2:6610733..6613819#LTR/Gypsy|Echei_chr_2:6610733..6613819#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina
Echei_chr_2:7657609..7666377#LTR/Gypsy|Echei_chr_2:7657609..7666377#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_2:8515652..8519107#DNA/DTM|Echei_chr_2:8515652..8519107#DNA/DTM	LTR	Gypsy	Tekay	no	-	GAG|Tekay
Echei_chr_3:18048298..18050919#DNA/DTC|Echei_chr_3:18048298..18050919#DNA/DTC	LTR	Copia	Ale	no	-	RT|Ale
Echei_chr_3:19892177..19897438#LTR/Gypsy|Echei_chr_3:19892177..19897438#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Echei_chr_3:2248793..2253477#DNA/DTC|Echei_chr_3:2248793..2253477#DNA/DTC	LTR	Gypsy	Athila	no	-	PROT|Athila RT|Athila RH|Athila INT|Athila
Echei_chr_3:2787332..2791765#LTR/Copia|Echei_chr_3:2787332..2791765#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_3:4117801..4122935#LTR/Copia|Echei_chr_3:4117801..4122935#LTR/Copia	LTR	Copia	Tork	yes	+	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Echei_chr_3:4361667..4365798#DNA/DTA|Echei_chr_3:4361667..4365798#DNA/DTA	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE RH|LINE
Echei_chr_3:5418895..5421903#LTR/Gypsy|Echei_chr_3:5418895..5421903#LTR/Gypsy	LTR	Gypsy	Reina	no	-	GAG|Reina
Echei_chr_3:5428708..5431716#LTR/Gypsy|Echei_chr_3:5428708..5431716#LTR/Gypsy	LTR	Gypsy	Reina	no	-	GAG|Reina
Echei_chr_3:5456971..5459978#LTR/unknown|Echei_chr_3:5456971..5459978#LTR/unknown	LTR	Gypsy	Reina	no	+	GAG|Reina
Echei_chr_3:6772989..6787251#LTR/Copia|Echei_chr_3:6772989..6787251#LTR/Copia	LTR	Copia	Angela	no	+	GAG|Angela PROT|Angela INT|Angela RT|Angela
Echei_chr_3:7924632..7926862#DNA/DTM|Echei_chr_3:7924632..7926862#DNA/DTM	LTR	Copia	SIRE	no	-	RH|SIRE
Echei_chr_3:9761941..9767431#LTR/Copia|Echei_chr_3:9761941..9767431#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_3:9832749..9835140#DNA/DTC|Echei_chr_3:9832749..9835140#DNA/DTC	LINE	unknown	unknown	unknown	-	RH|LINE
Echei_chr_4:12672659..12687616#LTR/Gypsy|Echei_chr_4:12672659..12687616#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila CHDCR|CRM
Echei_chr_4:13568550..13580246#LTR/Gypsy|Echei_chr_4:13568550..13580246#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_4:14059867..14074468#LTR/Copia|Echei_chr_4:14059867..14074468#LTR/Copia	LTR	Copia	Angela	yes	+	GAG|Angela PROT|Angela INT|Angela RT|Angela RH|Angela
Echei_chr_4:1437733..1442270#DNA/DTC|Echei_chr_4:1437733..1442270#DNA/DTC	LINE	unknown	unknown	unknown	+	RH|LINE
Echei_chr_4:20884848..20890871#LTR/Copia|Echei_chr_4:20884848..20890871#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Echei_chr_4:5197369..5202210#DNA/DTM|Echei_chr_4:5197369..5202210#DNA/DTM	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE RH|LINE
Echei_chr_4:5353258..5357690#LTR/unknown|Echei_chr_4:5353258..5357690#LTR/unknown	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_4:6041032..6045069#LTR/Gypsy|Echei_chr_4:6041032..6045069#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
Echei_chr_5:12117340..12118721#DNA/DTC|Echei_chr_5:12117340..12118721#DNA/DTC	LTR	Copia	Ale	no	+	INT|Ale
Echei_chr_5:12130709..12144132#LTR/Gypsy|Echei_chr_5:12130709..12144132#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_5:14851212..14855013#DNA/DTM|Echei_chr_5:14851212..14855013#DNA/DTM	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale
Echei_chr_5:15872890..15873841#DNA/DTC|Echei_chr_5:15872890..15873841#DNA/DTC	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand
Echei_chr_5:16816862..16824479#LTR/unknown|Echei_chr_5:16816862..16824479#LTR/unknown	LTR	Gypsy	Athila	no	+	GAG|Athila
Echei_chr_5:17837852..17840212#DNA/DTC|Echei_chr_5:17837852..17840212#DNA/DTC	LINE	unknown	unknown	unknown	+	RT|LINE
Echei_chr_5:19951293..19952919#DNA/DTC|Echei_chr_5:19951293..19952919#DNA/DTC	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
Echei_chr_5:20455262..20457600#DNA/DTT|Echei_chr_5:20455262..20457600#DNA/DTT	LINE	unknown	unknown	unknown	+	RH|LINE
Echei_chr_5:7281279..7286113#LTR/Copia|Echei_chr_5:7281279..7286113#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Echei_chr_5:9216689..9220028#DNA/DTA|Echei_chr_5:9216689..9220028#DNA/DTA	LTR	Gypsy	Reina	no	-	GAG|Reina
Echei_chr_6:1512270..1517553#LTR/Copia|Echei_chr_6:1512270..1517553#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Echei_chr_6:1645549..1649598#DNA/DTM|Echei_chr_6:1645549..1649598#DNA/DTM	LINE	unknown	unknown	unknown	+	RH|LINE
Echei_chr_6:5892310..5907920#LTR/Gypsy|Echei_chr_6:5892310..5907920#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_6:6745104..6754667#LTR/Gypsy|Echei_chr_6:6745104..6754667#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_6:7247789..7261595#LTR/Gypsy|Echei_chr_6:7247789..7261595#LTR/Gypsy	LTR	Gypsy	Athila	no	?	GAG|Athila CHDCR|CRM PROT|Athila
Echei_chr_6:8954533..8957644#DNA/DTT|Echei_chr_6:8954533..8957644#DNA/DTT	LTR	Copia	Ivana	no	+	GAG|Ivana
Echei_chr_6:8957504..8958106#DNA/DTM|Echei_chr_6:8957504..8958106#DNA/DTM	LTR	Copia	Ivana	no	+	PROT|Ivana
Echei_chr_7:10085424..10090914#LTR/Copia|Echei_chr_7:10085424..10090914#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_7:1016336..1026846#LTR/Gypsy|Echei_chr_7:1016336..1026846#LTR/Gypsy	LTR	Gypsy	Reina	no	-	GAG|Reina CHD|Reina
Echei_chr_7:4361086..4370663#LTR/Gypsy|Echei_chr_7:4361086..4370663#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_7:4887477..4903703#LTR/unknown|Echei_chr_7:4887477..4903703#LTR/unknown	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila INT|Angela
Echei_chr_7:6967055..6976628#LTR/Gypsy|Echei_chr_7:6967055..6976628#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Echei_chr_7:9782568..9791065#LTR/Gypsy|Echei_chr_7:9782568..9791065#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila
Echei_chr_8:4407179..4412118#DNA/DTA|Echei_chr_8:4407179..4412118#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
Echei_chr_8:4904613..4908867#DNA/DTA|Echei_chr_8:4904613..4908867#DNA/DTA	LTR	Copia	Ale	no	-	PROT|Ale INT|Ale RT|Ale RH|Ale
Echei_chr_8:4987729..4992890#LTR/Copia|Echei_chr_8:4987729..4992890#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Echei_chr_8:5688024..5700422#LTR/Gypsy|Echei_chr_8:5688024..5700422#LTR/Gypsy	LTR	Gypsy	Athila	no	+	CHDCR|CRM GAG|Athila PROT|Athila
Echei_chr_8:6887540..6888364#DNA/DTC|Echei_chr_8:6887540..6888364#DNA/DTC	LTR	Gypsy	CRM	no	-	GAG|CRM
Echei_chr_8:8468975..8473920#DNA/DTM|Echei_chr_8:8468975..8473920#DNA/DTM	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Echei_chr_8:8568051..8571618#DNA/DTA|Echei_chr_8:8568051..8571618#DNA/DTA	LTR	Copia	Ivana	no	-	GAG|Ivana PROT|Ivana INT|Ivana
Echei_chr_8:9694621..9704611#LTR/Gypsy|Echei_chr_8:9694621..9704611#LTR/Gypsy	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
TE_00000010|Echei_chr_1:4525519..4510695#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000013|Echei_chr_1:5031399..5050579#DNA/Helitron	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000019|Echei_chr_1:8891933..8905350#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000023|Echei_chr_1:9428369..9425711#DNA/Helitron	LTR	Copia	Ale	no	+	RH|Ale
TE_00000031|Echei_chr_1:13357649..13340370#DNA/Helitron	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000036|Echei_chr_1:13884727..13873552#DNA/Helitron	TIR	MuDR_Mutator	unknown	unknown	+	TPase|MuDR_Mutator
TE_00000050|Echei_chr_8:6079589..6085613#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000059|Echei_chr_1:18205684..18208856#DNA/DTM	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000069|Echei_chr_1:24098092..24078520#DNA/Helitron	LTR	Copia	TAR	no	+	RH|TAR
TE_00000123|Echei_chr_2:14213077..14201826#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000165|Echei_chr_3:6514588..6500703#DNA/Helitron	LTR	Gypsy	CRM	yes	-	GAG|CRM PROT|CRM RT|CRM RH|CRM INT|CRM CHDCR|CRM
TE_00000174|Echei_chr_3:9271775..9256263#DNA/Helitron	LTR	Copia	Angela	no	+	GAG|Angela PROT|Angela INT|Angela RT|Angela
TE_00000176|Echei_chr_3:9869678..9873968#DNA/DTM	TIR	EnSpm_CACTA	unknown	unknown	+	TPase|EnSpm_CACTA
TE_00000178|Echei_chr_3:10157683..10176155#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000214|Echei_chr_3:20963292..20945447#DNA/Helitron	LTR	Copia	Ale	no	-	RT|Ale RH|Ale
TE_00000218|Echei_chr_3:21949325..21962273#DNA/Helitron	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000251|Echei_chr_4:8372189..8384527#DNA/Helitron	mixture	mixture	unknown	unknown	?	RH|LINE GAG|Ivana
TE_00000259|Echei_chr_4:14037253..14018880#DNA/Helitron	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000260|Echei_chr_4:14973387..14956402#DNA/Helitron	LTR	Gypsy	Athila	no	-	INT|Athila RT|Athila RH|Athila
TE_00000263|Echei_chr_3:7266294..7281218#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000265|Echei_chr_4:16586074..16597420#DNA/Helitron	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE RH|LINE
TE_00000270|Echei_chr_4:17591477..17577176#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000271|Echei_chr_3:8131940..8133824#DNA/DTT	TIR	Tc1_Mariner	unknown	unknown	-	TPase|Tc1_Mariner
TE_00000271|Echei_chr_4:18443543..18445423#DNA/DTT	TIR	Tc1_Mariner	unknown	unknown	+	TPase|Tc1_Mariner
