#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Asuec_chr_1:14256248..14258350#DNA/DTC|Asuec_chr_1:14256248..14258350#DNA/DTC	LTR	Gypsy	Reina	no	+	GAG|Reina
Asuec_chr_1:14335045..14337634#DNA/DTC|Asuec_chr_1:14335045..14337634#DNA/DTC	TIR	PIF_Harbinger	unknown	unknown	-	TPase|PIF_Harbinger
Asuec_chr_1:14343272..14346506#DNA/DTM|Asuec_chr_1:14343272..14346506#DNA/DTM	LTR	Gypsy	Athila	no	-	GAG|Athila
Asuec_chr_1:16159098..16163769#DNA/DTC|Asuec_chr_1:16159098..16163769#DNA/DTC	LTR	Copia	Ale	no	-	GAG|Ale
Asuec_chr_1:16578664..16580424#DNA/DTC|Asuec_chr_1:16578664..16580424#DNA/DTC	LINE	unknown	unknown	unknown	-	RT|LINE
Asuec_chr_10:10133362..10137256#LTR/Copia|Asuec_chr_10:10133362..10137256#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana
Asuec_chr_10:13751253..13755294#LTR/Copia|Asuec_chr_10:13751253..13755294#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana INT|Ivana PROT|Ivana RH|Ivana
Asuec_chr_10:15141259..15146875#LTR/unknown|Asuec_chr_10:15141259..15146875#LTR/unknown	LTR	Gypsy	CRM	no	+	GAG|CRM
Asuec_chr_10:1591144..1600017#LTR/Gypsy|Asuec_chr_10:1591144..1600017#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Asuec_chr_10:4133898..4137635#LTR/Copia|Asuec_chr_10:4133898..4137635#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana
Asuec_chr_10:4671396..4675110#DNA/DTM|Asuec_chr_10:4671396..4675110#DNA/DTM	LTR	Gypsy	CRM	no	-	CHDCR|CRM
Asuec_chr_10:4932742..4937529#LTR/Copia|Asuec_chr_10:4932742..4937529#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Asuec_chr_10:5623189..5627547#LTR/unknown|Asuec_chr_10:5623189..5627547#LTR/unknown	LTR	Gypsy	CRM	no	+	CHDCR|CRM
Asuec_chr_10:5623884..5627303#DNA/DTM|Asuec_chr_10:5623884..5627303#DNA/DTM	LTR	Gypsy	CRM	no	+	CHDCR|CRM
Asuec_chr_10:5673804..5691293#LTR/Gypsy|Asuec_chr_10:5673804..5691293#LTR/Gypsy	LTR	Gypsy	Athila	no	?	PROT|Athila GAG|Athila
Asuec_chr_10:5816539..5824009#LTR/Gypsy|Asuec_chr_10:5816539..5824009#LTR/Gypsy	LTR	Gypsy	CRM	yes	-	CHDCR|CRM GAG|CRM PROT|CRM RT|CRM RH|CRM INT|CRM
Asuec_chr_10:7857456..7859780#LTR/unknown|Asuec_chr_10:7857456..7859780#LTR/unknown	LTR	Copia	Ivana	no	-	PROT|Ivana
