#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Aalpi_chr_1:11988481..11994082#LTR/Gypsy|Aalpi_chr_1:11988481..11994082#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_1:12058993..12061365#DNA/DTM|Aalpi_chr_1:12058993..12061365#DNA/DTM	LINE	unknown	unknown	unknown	+	RH|LINE
Aalpi_chr_1:12515404..12520413#LTR/Copia|Aalpi_chr_1:12515404..12520413#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_1:13218405..13233416#LTR/Gypsy|Aalpi_chr_1:13218405..13233416#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay INT|Tekay CHD|Tekay GAG|Athila PROT|Athila
Aalpi_chr_1:13950505..13962487#LTR/Gypsy|Aalpi_chr_1:13950505..13962487#LTR/Gypsy	LTR	Gypsy	Retand	yes	-	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_1:18150543..18155166#DNA/DTC|Aalpi_chr_1:18150543..18155166#DNA/DTC	LTR	Copia	Tork	no	-	RT|Tork RH|Tork
Aalpi_chr_1:18154814..18159146#DNA/DTC|Aalpi_chr_1:18154814..18159146#DNA/DTC	LTR	Copia	Tork	no	-	GAG|Tork PROT|Tork INT|Tork
Aalpi_chr_1:19791252..19796269#LTR/Copia|Aalpi_chr_1:19791252..19796269#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_1:21652240..21665487#LTR/unknown|Aalpi_chr_1:21652240..21665487#LTR/unknown	LTR	Gypsy	Tekay	yes	-	GAG|Ale PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_1:240326..244813#LTR/Gypsy|Aalpi_chr_1:240326..244813#LTR/Gypsy	LTR	Gypsy	Reina	no	-	GAG|Reina
Aalpi_chr_1:25319870..25334603#LTR/Gypsy|Aalpi_chr_1:25319870..25334603#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_1:25321130..25333479#LTR/Gypsy|Aalpi_chr_1:25321130..25333479#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_1:4343290..4358701#LTR/Gypsy|Aalpi_chr_1:4343290..4358701#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	GAG|Retand RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_1:8342758..8359877#LTR/Gypsy|Aalpi_chr_1:8342758..8359877#LTR/Gypsy	LTR	Gypsy	Tekay	no	?	RT|Tekay PROT|Tekay RH|Tekay INT|Tekay CHD|Tekay GAG|Tekay
Aalpi_chr_1:8778077..8779676#DNA/DTA|Aalpi_chr_1:8778077..8779676#DNA/DTA	LTR	Gypsy	Athila	no	+	INT|Athila
Aalpi_chr_1:8850195..8862201#LTR/Gypsy|Aalpi_chr_1:8850195..8862201#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_2:10230000..10244139#LTR/Gypsy|Aalpi_chr_2:10230000..10244139#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	GAG|Tekay PROT|Tekay RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:10858557..10862881#DNA/DTH|Aalpi_chr_2:10858557..10862881#DNA/DTH	LTR	Gypsy	Retand	no	-	PROT|Retand RT|Retand aRH|Retand INT|Retand
Aalpi_chr_2:10922774..10937371#LTR/unknown|Aalpi_chr_2:10922774..10937371#LTR/unknown	LTR	Gypsy	Tekay	no	-	PROT|Ale RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:11140246..11151623#LTR/Gypsy|Aalpi_chr_2:11140246..11151623#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_2:11199513..11201648#DNA/DTH|Aalpi_chr_2:11199513..11201648#DNA/DTH	LTR	Gypsy	Tekay	no	-	RT|Tekay RH|Tekay INT|Tekay
Aalpi_chr_2:14080434..14094518#LTR/Gypsy|Aalpi_chr_2:14080434..14094518#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Aalpi_chr_2:14672325..14677242#DNA/DTT|Aalpi_chr_2:14672325..14677242#DNA/DTT	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Aalpi_chr_2:15009850..15015274#LTR/Gypsy|Aalpi_chr_2:15009850..15015274#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_2:15261579..15276480#LTR/Gypsy|Aalpi_chr_2:15261579..15276480#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Athila PROT|Athila RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:1762955..1768398#LTR/Gypsy|Aalpi_chr_2:1762955..1768398#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_2:18560703..18566166#LTR/Gypsy|Aalpi_chr_2:18560703..18566166#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_2:19073210..19076539#DNA/DTM|Aalpi_chr_2:19073210..19076539#DNA/DTM	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale
Aalpi_chr_2:22000044..22003312#DNA/DTM|Aalpi_chr_2:22000044..22003312#DNA/DTM	LTR	Gypsy	Tekay	no	-	INT|Tekay CHD|Tekay
Aalpi_chr_2:22358853..22367328#LTR/Gypsy|Aalpi_chr_2:22358853..22367328#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:22454040..22455836#DNA/DTM|Aalpi_chr_2:22454040..22455836#DNA/DTM	LTR	Copia	Ale	no	-	PROT|Ale INT|Ale
Aalpi_chr_2:22604455..22616790#LTR/Gypsy|Aalpi_chr_2:22604455..22616790#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_2:2493276..2495583#DNA/DTM|Aalpi_chr_2:2493276..2495583#DNA/DTM	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale INT|Ale
Aalpi_chr_2:25716622..25720447#DNA/DTM|Aalpi_chr_2:25716622..25720447#DNA/DTM	LTR	Gypsy	Athila	no	+	INT|Athila
Aalpi_chr_2:25834041..25838071#LTR/unknown|Aalpi_chr_2:25834041..25838071#LTR/unknown	LINE	unknown	unknown	unknown	-	ENDO|LINE
Aalpi_chr_2:26836880..26840913#LTR/Copia|Aalpi_chr_2:26836880..26840913#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_2:26893069..26897001#DNA/DTM|Aalpi_chr_2:26893069..26897001#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Aalpi_chr_2:27665554..27679767#LTR/Gypsy|Aalpi_chr_2:27665554..27679767#LTR/Gypsy	LTR	Gypsy	Athila	no	?	RH|Athila INT|Athila RT|Athila PROT|Athila GAG|Athila
Aalpi_chr_2:28286186..28290956#LTR/Copia|Aalpi_chr_2:28286186..28290956#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Aalpi_chr_2:28524765..28536083#LTR/Gypsy|Aalpi_chr_2:28524765..28536083#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:30045833..30053920#LTR/Gypsy|Aalpi_chr_2:30045833..30053920#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay INT|Tekay CHD|Tekay
