#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Bnigr_chr_1:10394374..10399118#LTR/Gypsy|Bnigr_chr_1:10394374..10399118#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Bnigr_chr_1:10394593..10399017#DNA/DTM|Bnigr_chr_1:10394593..10399017#DNA/DTM	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Bnigr_chr_1:10443518..10447327#DNA/DTC|Bnigr_chr_1:10443518..10447327#DNA/DTC	LINE	unknown	unknown	unknown	+	RH|LINE
Bnigr_chr_1:13773529..13776983#DNA/DTC|Bnigr_chr_1:13773529..13776983#DNA/DTC	LTR	Copia	Ivana	no	+	GAG|Ivana
Bnigr_chr_1:14891743..14897094#LTR/Gypsy|Bnigr_chr_1:14891743..14897094#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Bnigr_chr_1:16087697..16092533#DNA/DTH|Bnigr_chr_1:16087697..16092533#DNA/DTH	TIR	PIF_Harbinger	unknown	unknown	+	TPase|PIF_Harbinger
Bnigr_chr_1:17277319..17279306#DNA/DTM|Bnigr_chr_1:17277319..17279306#DNA/DTM	LTR	Copia	TAR	no	-	GAG|TAR
Bnigr_chr_1:1733871..1738973#LTR/Gypsy|Bnigr_chr_1:1733871..1738973#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Bnigr_chr_1:17893291..17898996#LTR/Copia|Bnigr_chr_1:17893291..17898996#LTR/Copia	LTR	Copia	Tork	yes	+	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Bnigr_chr_1:19274024..19276639#DNA/DTT|Bnigr_chr_1:19274024..19276639#DNA/DTT	LTR	Gypsy	Retand	no	+	RT|Retand RH|Retand INT|Retand
Bnigr_chr_1:19609380..19614024#DNA/DTM|Bnigr_chr_1:19609380..19614024#DNA/DTM	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Bnigr_chr_1:21105727..21120656#LTR/Gypsy|Bnigr_chr_1:21105727..21120656#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand aRH|Retand INT|Retand GAG|Athila PROT|Athila
Bnigr_chr_1:21343317..21348507#LTR/Gypsy|Bnigr_chr_1:21343317..21348507#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Bnigr_chr_1:24953058..24954658#DNA/DTM|Bnigr_chr_1:24953058..24954658#DNA/DTM	LTR	Gypsy	Athila	no	+	PROT|Athila
Bnigr_chr_1:25175930..25180786#DNA/DTM|Bnigr_chr_1:25175930..25180786#DNA/DTM	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RT|Ale
Bnigr_chr_1:27425982..27430625#LTR/Copia|Bnigr_chr_1:27425982..27430625#LTR/Copia	LTR	Copia	Ivana	yes	-	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
Bnigr_chr_1:28971461..28973599#DNA/DTM|Bnigr_chr_1:28971461..28973599#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Bnigr_chr_1:29707431..29710015#DNA/DTM|Bnigr_chr_1:29707431..29710015#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Bnigr_chr_1:32214728..32219437#LTR/Copia|Bnigr_chr_1:32214728..32219437#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
