#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Dniva_chr_1:12015725..12019882#DNA/EnSpm_CACTA|Dniva_chr_1:12015725..12019882#DNA/EnSpm_CACTA	LTR	Gypsy	CRM	no	-	CHDCR|CRM GAG|CRM PROT|CRM RT|CRM RH|CRM
Dniva_chr_1:17345749..17350146#DNA/EnSpm_CACTA|Dniva_chr_1:17345749..17350146#DNA/EnSpm_CACTA	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale INT|Ale
Dniva_chr_1:23672374..23677157#DNA/MuDR_Mutator|Dniva_chr_1:23672374..23677157#DNA/MuDR_Mutator	LTR	Gypsy	Tekay	no	+	INT|Tekay GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay
Dniva_chr_1:2577576..2581839#DNA/Tc1_Mariner|Dniva_chr_1:2577576..2581839#DNA/Tc1_Mariner	LTR	Copia	Ivana	no	-	GAG|Ivana
Dniva_chr_1:28123797..28126167#DNA/EnSpm_CACTA|Dniva_chr_1:28123797..28126167#DNA/EnSpm_CACTA	LTR	Copia	SIRE	no	+	RH|SIRE
Dniva_chr_1:29528281..29532686#DNA/MuDR_Mutator|Dniva_chr_1:29528281..29532686#DNA/MuDR_Mutator	LTR	Gypsy	Galadriel	no	-	CHD|Galadriel
Dniva_chr_1:4287265..4290636#DNA/hAT|Dniva_chr_1:4287265..4290636#DNA/hAT	LTR	Gypsy	Athila	no	-	PROT|Athila
Dniva_chr_1:5446223..5448824#DNA/hAT|Dniva_chr_1:5446223..5448824#DNA/hAT	LINE	unknown	unknown	unknown	-	RH|LINE
Dniva_chr_1:6951459..6957202#LTR/Copia|Dniva_chr_1:6951459..6957202#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
Dniva_chr_1:7392977..7397312#DNA/EnSpm_CACTA|Dniva_chr_1:7392977..7397312#DNA/EnSpm_CACTA	LINE	unknown	unknown	unknown	+	RH|LINE
Dniva_chr_1:9031287..9033484#DNA/hAT|Dniva_chr_1:9031287..9033484#DNA/hAT	LINE	unknown	unknown	unknown	-	RH|LINE
Dniva_chr_1:9383530..9384480#DNA/EnSpm_CACTA|Dniva_chr_1:9383530..9384480#DNA/EnSpm_CACTA	LTR	Copia	SIRE	no	-	RH|SIRE
Dniva_chr_1:9465647..9467130#DNA/EnSpm_CACTA|Dniva_chr_1:9465647..9467130#DNA/EnSpm_CACTA	LTR	Copia	Ale	no	+	INT|Ale
Dniva_chr_2:10366281..10368444#DNA/MuDR_Mutator|Dniva_chr_2:10366281..10368444#DNA/MuDR_Mutator	LTR	Gypsy	Retand	no	-	PROT|Retand RT|Retand
Dniva_chr_2:16228839..16233843#DNA/MuDR_Mutator|Dniva_chr_2:16228839..16233843#DNA/MuDR_Mutator	LTR	Gypsy	Tekay	no	+	GAG|Tekay
Dniva_chr_2:17104840..17109811#LTR/Gypsy|Dniva_chr_2:17104840..17109811#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Dniva_chr_2:18449582..18452097#DNA/MuDR_Mutator|Dniva_chr_2:18449582..18452097#DNA/MuDR_Mutator	LTR	Copia	SIRE	no	+	GAG|SIRE PROT|SIRE
Dniva_chr_2:19637318..19638925#DNA/MuDR_Mutator|Dniva_chr_2:19637318..19638925#DNA/MuDR_Mutator	LTR	Gypsy	Tekay	no	-	INT|Tekay CHD|Tekay
Dniva_chr_2:21103778..21107404#LTR/Copia|Dniva_chr_2:21103778..21107404#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana RT|Ivana
Dniva_chr_2:21709884..21712207#LTR/Gypsy|Dniva_chr_2:21709884..21712207#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina
Dniva_chr_2:24462192..24464466#DNA/MuDR_Mutator|Dniva_chr_2:24462192..24464466#DNA/MuDR_Mutator	LTR	Copia	TAR	no	+	PROT|TAR GAG|TAR
Dniva_chr_2:24462844..24468888#LTR/Copia|Dniva_chr_2:24462844..24468888#LTR/Copia	LTR	Copia	TAR	yes	+	GAG|TAR PROT|TAR INT|TAR RT|TAR RH|TAR
Dniva_chr_2:24626744..24629800#DNA/EnSpm_CACTA|Dniva_chr_2:24626744..24629800#DNA/EnSpm_CACTA	LTR	Gypsy	CRM	no	-	RH|CRM
Dniva_chr_2:25214734..25218057#DNA/EnSpm_CACTA|Dniva_chr_2:25214734..25218057#DNA/EnSpm_CACTA	LTR	Gypsy	Retand	no	-	PROT|Retand RT|Retand RH|Retand
Dniva_chr_2:25482151..25467775#DNA/Helitron|Dniva_chr_2:25482151..25467775#DNA/Helitron	LTR	Gypsy	Tekay	no	-	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay CHD|Tekay
